districtid,timeid,cases
101,1,0
101,2,1
101,3,2
101,4,4
101,5,70
101,6,115
101,7,52
102,1,0
102,2,96
102,3,443
102,4,348
102,5,574
102,6,1129
102,7,467
103,1,0
103,2,845
103,3,9421
103,4,9047
103,5,5819
103,6,5148
103,7,991
104,1,0
104,2,6
104,3,79
104,4,332
104,5,4310
104,6,16118
104,7,4368
105,1,0
105,2,0
105,3,0
105,4,37
105,5,191
105,6,365
105,7,44
106,1,0
106,2,27
106,3,203
106,4,181
106,5,1438
106,6,2255
106,7,449
107,1,0
107,2,10
107,3,555
107,4,971
107,5,1065
107,6,1323
107,7,601
108,1,0
108,2,0
108,3,42
108,4,255
108,5,1432
108,6,4113
108,7,547
109,1,0
109,2,22
109,3,125
109,4,352
109,5,910
109,6,2960
109,7,884
110,1,0
110,2,0
110,3,4
110,4,179
110,5,167
110,6,1744
110,7,731
111,1,0
111,2,0
111,3,0
111,4,1
111,5,166
111,6,423
111,7,115
112,1,0
112,2,0
112,3,62
112,4,114
112,5,131
112,6,266
112,7,206
113,1,0
113,2,2
113,3,46
113,4,478
113,5,3419
113,6,3985
113,7,668
114,1,0
114,2,1
114,3,63
114,4,272
114,5,1233
114,6,2382
114,7,631
115,1,0
115,2,0
115,3,62
115,4,59
115,5,135
115,6,606
115,7,132
116,1,0
116,2,0
116,3,146
116,4,138
116,5,181
116,6,764
116,7,280
117,1,0
117,2,8
117,3,201
117,4,346
117,5,1489
117,6,3227
117,7,629
118,1,0
118,2,0
118,3,10
118,4,79
118,5,373
118,6,843
118,7,171
119,1,0
119,2,28
119,3,383
119,4,543
119,5,969
119,6,2223
119,7,713
120,1,0
120,2,1
120,3,39
120,4,86
120,5,466
120,6,1083
120,7,227
121,1,0
121,2,25
121,3,26
121,4,124
121,5,259
121,6,330
121,7,53
122,1,0
122,2,8
122,3,161
122,4,1359
122,5,13246
122,6,27557
122,7,3875
123,1,0
123,2,35
123,3,267
123,4,340
123,5,641
123,6,1045
123,7,193
124,1,0
124,2,0
124,3,25
124,4,45
124,5,262
124,6,536
124,7,351
125,1,0
125,2,0
125,3,0
125,4,0
125,5,4
125,6,45
125,7,10
126,1,0
126,2,0
126,3,17
126,4,13
126,5,45
126,6,340
126,7,77
127,1,0
127,2,1
127,3,41
127,4,92
127,5,496
127,6,2422
127,7,703
128,1,0
128,2,1
128,3,92
128,4,100
128,5,102
128,6,120
128,7,45
129,1,0
129,2,1
129,3,360
129,4,102
129,5,457
129,6,1860
129,7,360
130,1,0
130,2,0
130,3,44
130,4,61
130,5,433
130,6,826
130,7,115
131,1,0
131,2,1
131,3,12
131,4,33
131,5,45
131,6,131
131,7,53
132,1,1
132,2,57
132,3,1299
132,4,7214
132,5,32410
132,6,70228
132,7,17566
133,1,0
133,2,0
133,3,19
133,4,79
133,5,264
