timeid,method,spot,districtid1,districtid2,districtid3,districtid4,districtid5
1,neighborhood,cold,299,314,312,422,715
1,neighborhood,hot,727,725,723,722,721
1,state,cold,101,102,103,104,105
1,state,hot,727,726,725,724,723
2,neighborhood,cold,299,314,312,422,715
2,neighborhood,hot,469,303,727,725,723
2,state,cold,101,102,103,104,105
2,state,hot,727,726,725,724,723
3,neighborhood,cold,270,647,273,299,314
3,neighborhood,hot,132,303,727,725,723
3,state,cold,101,102,103,104,105
3,state,hot,727,726,725,724,723
4,neighborhood,cold,270,647,273,299,314
4,neighborhood,hot,727,725,723,721,720
4,state,cold,101,102,103,104,105
4,state,hot,727,726,725,724,723
5,neighborhood,cold,270,647,273,299,314
5,neighborhood,hot,727,725,723,721,720
5,state,cold,101,102,103,104,105
5,state,hot,727,726,725,724,723
6,neighborhood,cold,270,647,299,273,314
6,neighborhood,hot,727,725,723,721,720
6,state,cold,101,102,103,104,105
6,state,hot,727,726,725,724,723
7,neighborhood,cold,548,150,430,523,200
7,neighborhood,hot,215,244,103,335,378
7,state,cold,108,275,420,533,673
7,state,hot,102,334,483,215,103
8,neighborhood,cold,550,548,636,131,472
8,neighborhood,hot,658,250,132,103,210
8,state,cold,586,127,298,308,349
8,state,hot,102,103,483,215,334
9,neighborhood,cold,293,430,175,336,328
9,neighborhood,hot,103,186,244,335,658
9,state,cold,616,636,127,298,365
9,state,hot,334,474,215,103,483
10,neighborhood,cold,399,381,646,245,325
10,neighborhood,hot,186,103,244,658,215
10,state,cold,127,403,616,185,435
10,state,hot,334,215,483,103,468
11,neighborhood,cold,381,646,233,203,616
11,neighborhood,hot,103,186,132,215,658
11,state,cold,203,616,349,404,434
11,state,hot,334,215,103,483,212
12,neighborhood,cold,441,358,139,381,496
12,neighborhood,hot,658,132,186,103,215
12,state,cold,650,712,544,333,708
12,state,hot,215,103,297,483,186
13,neighborhood,cold,549,481,456,194,430
13,neighborhood,hot,103,658,335,186,215
13,state,cold,650,434,349,544,333
13,state,hot,215,186,103,297,483
14,neighborhood,cold,456,381,673,301,700
14,neighborhood,hot,103,215,186,244,119
14,state,cold,581,333,712,185,349
14,state,hot,297,215,103,186,483
15,neighborhood,cold,127,691,456,670,101
15,neighborhood,hot,173,103,244,658,215
15,state,cold,650,691,712,333,709
15,state,hot,297,215,173,334,103
16,neighborhood,cold,646,691,203,338,399
16,neighborhood,hot,173,132,103,186,244
16,state,cold,650,712,691,709,333
16,state,hot,299,215,173,294,536
17,neighborhood,cold,691,456,614,213,532
17,neighborhood,hot,173,132,186,244,658
17,state,cold,709,587,544,712,691
17,state,hot,215,173,536,299,294
18,neighborhood,cold,646,399,456,541,213
18,neighborhood,hot,173,132,186,334,658
18,state,cold,691,262,708,399,646
18,state,hot,448,173,536,215,294
19,neighborhood,cold,692,646,691,456,369
19,neighborhood,hot,132,658,272,173,448
19,state,cold,691,712,262,544,709
19,state,hot,448,536,173,186,215
20,neighborhood,cold,426,548,527,646,233
20,neighborhood,hot,132,215,173,658,448
20,state,cold,709,422,262,544,432
20,state,hot,186,536,448,173,562
21,neighborhood,cold,125,616,238,116,381
21,neighborhood,hot,173,132,448,658,186
21,state,cold,432,401,544,422,262
21,state,hot,448,536,173,215,186
22,neighborhood,cold,616,622,238,381,515
22,neighborhood,hot,132,173,448,378,658
22,state,cold,432,422,401,262,213
22,state,hot,448,334,536,173,215
23,neighborhood,cold,691,456,527,616,381
23,neighborhood,hot,173,132,721,658,244
23,state,cold,422,515,213,361,355
23,state,hot,448,173,334,215,536
24,neighborhood,cold,381,359,456,618,365
24,neighborhood,hot,173,132,670,658,244
24,state,cold,422,213,712,515,333
24,state,hot,448,536,173,215,334
25,neighborhood,cold,381,545,245,385,456
25,neighborhood,hot,721,173,132,658,346
25,state,cold,422,213,333,515,712
25,state,hot,448,173,536,334,562
