districtid,timeid,neighborhoodzscore,statezscore
101,1,0,0
101,2,-0.55,-0.21
101,3,-0.68,-0.33
101,4,-2.01,-0.42
101,5,-3.23,-0.45
101,6,-1.72,-0.49
101,7,-0.86,-0.43
102,1,0,0
102,2,10.03,7.05
102,3,7.23,4.55
102,4,-0.12,0.49
102,5,0.21,-0.25
102,6,0.66,-0.32
102,7,2.2,0.01
103,1,0,0
103,2,80.8,5.53
103,3,132.8,5.52
103,4,77.19,5.21
103,5,15.52,2.88
103,6,10.15,2.47
103,7,8.7,2.12
104,1,0,0
104,2,-0.49,-0.23
104,3,-0.57,-0.27
104,4,-0.74,-0.34
104,5,-0.73,-0.19
104,6,-0.39,0.32
104,7,-0.31,0.3
105,1,-0.59,0
105,2,-0.39,0
105,3,-0.4,0
105,4,-0.44,1.16
105,5,-0.38,2.45
105,6,-0.39,2.25
105,7,-0.39,2.42
106,1,0,0
106,2,0.11,0.49
106,3,-0.4,0.05
106,4,-0.46,-0.27
106,5,0.68,0.74
106,6,0.27,0.7
106,7,-0.01,0.45
107,1,0,0
107,2,1.61,-0.21
107,3,4.53,-0.19
107,4,5.99,-0.26
107,5,0.11,-0.4
107,6,-0.81,-0.57
107,7,-0.09,-0.56
108,1,0,0
108,2,-0.87,-0.9
108,3,1.52,-0.36
108,4,0.52,0.22
108,5,0.5,0.06
108,6,1.16,0.12
108,7,-0.64,-0.42
109,1,0,0
109,2,1.89,1.35
109,3,0.42,0.56
109,4,-0.14,0.51
109,5,0.14,0.07
109,6,2.33,0.37
109,7,2.5,0.66
110,1,-0.57,0
110,2,-0.58,0
110,3,-0.62,-0.49
110,4,-0.61,-0.44
110,5,-0.61,-0.53
110,6,-0.59,-0.48
110,7,-0.58,-0.05
111,1,0,0
111,2,-0.53,-0.23
111,3,-1.45,-0.34
111,4,-1.05,-0.43
111,5,-0.79,-0.3
111,6,-0.47,-0.2
111,7,-0.3,-0.22
112,1,0,0
112,2,0,-0.41
112,3,0.05,-0.05
112,4,0.28,-0.33
112,5,-0.08,-0.48
112,6,-0.35,-0.65
112,7,0.0,-0.44
113,1,0,0
113,2,-0.37,-0.33
113,3,-0.41,-0.54
113,4,-0.17,0.51
113,5,3.34,2.84
113,6,1.17,1.9
113,7,0.24,1.02
114,1,0,0
114,2,-0.36,-0.18
114,3,2.02,-0.11
114,4,2.56,-0.27
114,5,1.57,0.23
114,6,0.2,0.99
114,7,-0.14,0.35
115,1,0,0
115,2,-0.65,-0.35
115,3,-1.08,-0.23
115,4,-2.08,-0.54
115,5,-1.58,-0.67
115,6,-0.86,-0.52
115,7,-0.72,-0.52
116,1,0,0
116,2,-0.73,-0.35
116,3,1.18,0.83
116,4,0.43,-0.26
116,5,-1.56,-0.63
116,6,-1.42,-0.46
116,7,-0.74,-0.29
117,1,0,0
117,2,-0.04,-0.22
117,3,0.17,-0.25
117,4,0.24,-0.34
117,5,0.73,-0.37
117,6,-0.0,-0.46
117,7,-0.24,-0.56
118,1,0,0
118,2,-1.0,-0.23
118,3,-2.05,-0.23
118,4,-0.14,-0.25
118,5,-0.7,-0.3
118,6,-0.4,-0.15
118,7,-0.37,-0.19
119,1,0,0
119,2,3.51,1.84
119,3,3.64,3.59
119,4,21.39,2.06
119,5,10.85,0.83
119,6,1.33,0.26
119,7,5.65,0.8
120,1,0,0
120,2,-1.23,-0.27
120,3,-0.95,-0.52
120,4,-1.71,-0.45
120,5,-0.98,-0.35
120,6,-0.31,-0.34
120,7,-0.6,-0.37
121,1,0,0
121,2,-0.48,-0.06
121,3,-0.55,-0.22
121,4,-0.59,-0.22
121,5,-0.84,-0.37
121,6,-0.93,-0.47
121,7,-0.94,-0.52
122,1,0,0
122,2,-0.27,-0.44
122,3,0.37,0.27
122,4,1.69,1.57
122,5,1.43,0.77
122,6,1.16,0.57
122,7,0.37,-0.65
123,1,0,0
123,2,10.36,3.45
123,3,1.88,2.0
123,4,-0.08,0.38
123,5,-0.15,-0.02
123,6,0.06,0.14
123,7,0.03,-0.16
124,1,0,0
124,2,-0.51,-0.36
124,3,-0.4,-0.43
124,4,-0.46,-0.62
124,5,-0.47,-0.34
124,6,-0.78,-0.74
124,7,-0.3,-0.37
125,1,0,0
125,2,0,0
125,3,-0.71,-0.27
125,4,-0.75,-0.4
125,5,-0.9,-0.35
125,6,-1.63,-0.45
125,7,-0.87,-0.4
126,1,0,0
126,2,-0.41,-0.23
126,3,-0.53,-0.29
126,4,-0.52,-0.38
126,5,-0.4,-0.48
126,6,-0.1,-0.28
126,7,-0.52,-0.35
127,1,0,0
127,2,0.86,-0.42
127,3,-3.67,-0.97
127,4,-1.37,-0.82
127,5,-0.95,-0.47
127,6,0.78,0.04
127,7,3.56,1.55
128,1,0,0
128,2,-0.38,-0.22
128,3,-0.78,-0.18
128,4,-0.26,-0.24
128,5,-1.19,-0.46
128,6,-1.26,-0.59
128,7,-1.01,-0.55
129,1,0,0
129,2,0.26,-0.18
129,3,1.05,-0.09
129,4,-1.06,-0.23
129,5,-1.21,-0.51
129,6,-0.74,-0.49
129,7,-0.64,-0.52
130,1,0,0
130,2,-0.92,-0.57
130,3,-1.34,-0.91
130,4,-0.92,-1.16
130,5,-0.7,-0.52
130,6,-0.69,-0.76
130,7,-0.59,-0.72
131,1,0,0
131,2,0,-0.21
131,3,-0.38,-0.3
131,4,-0.25,-0.3
131,5,-1.81,-0.48
131,6,-1.76,-0.47
131,7,-1.08,-0.43
132,1,5.71,0
132,2,167.47,0
132,3,66.28,0
132,4,35.01,0
132,5,112.64,0
132,6,84.09,0
132,7,76.83,0
133,1,0,0
133,2,-0.78,-0.35
133,3,-1.49,-0.77
133,4,-0.88,-0.47
133,5,-0.52,-0.55
133,6,-0.68,-0.44
133,7,0.87,-0.25
134,1,0,0
134,2,-0.1,0.31
134,3,-0.06,-0.39
134,4,1.27,-0.1
134,5,-0.49,-0.3
134,6,0.05,-0.25
134,7,1.3,-0.05
135,1,0,0
135,2,2.24,0.04
135,3,2.54,-0.05
135,4,1.66,0.09
135,5,0.95,0.11
135,6,-0.38,-0.09
135,7,-0.6,-0.32
136,1,0,0
136,2,-0.41,-0.35
136,3,0.04,0.4
136,4,0.69,-0.16
136,5,1.86,0.09
136,6,1.01,0.08
136,7,2.23,0.27
137,1,0,0
137,2,-0.62,-0.35
137,3,-0.08,0.08
137,4,-0.32,-0.21
137,5,-0.16,-0.09
137,6,-0.02,0.1
137,7,-0.27,-0.23
138,1,0,0
138,2,0.16,0.69
138,3,-0.44,-0.45
138,4,-1.02,-0.38
138,5,-0.46,-0.24
138,6,-0.4,-0.21
138,7,-0.81,-0.32
139,1,0,0
139,2,0,-0.41
139,3,-0.61,-0.65
139,4,-0.15,-0.65
139,5,-0.98,-0.73
