districtid,timeid,statemean,statestddev
101,1,1342.15,2404.04
102,1,3438.56,4266.76
103,1,3016.45,6207.21
104,1,24999.37,44319.86
105,1,131.5,208.44
106,1,2633.45,3047.42
107,1,24999.37,44319.86
108,1,6020.79,3899.7
109,1,3438.56,4266.76
110,1,7706.39,10641.13
111,1,1342.15,2404.04
112,1,1839.23,1960.04
113,1,2633.45,3047.42
114,1,3363.18,3459.71
115,1,3438.56,4266.76
116,1,3438.56,4266.76
117,1,24999.37,44319.86
118,1,3016.45,6207.21
119,1,2782.05,2752.43
120,1,3438.56,4266.76
121,1,3016.45,6207.21
122,1,37179.92,12336.82
123,1,2085.9,2166.37
124,1,4003.93,4635.75
125,1,196.52,336.52
126,1,1342.15,2404.04
127,1,3831.16,3372.27
128,1,3016.45,6207.21
129,1,12293.18,23679.23
130,1,3831.16,3372.27
131,1,1342.15,2404.04
132,1,123923,0
133,1,3438.56,4266.76
134,1,3831.16,3372.27
135,1,24999.37,44319.86
136,1,3438.56,4266.76
137,1,3438.56,4266.76
138,1,12957.1,25386.6
139,1,1839.23,1960.04
140,1,3438.56,4266.76
141,1,3438.56,4266.76
142,1,1342.15,2404.04
143,1,4003.93,4635.75
144,1,4003.93,4635.75
145,1,12957.1,25386.6
146,1,3438.56,4266.76
147,1,1592.04,2945.96
148,1,1592.04,2945.96
149,1,1592.04,2945.96
150,1,3438.56,4266.76
151,1,1592.04,2945.96
152,1,3016.45,6207.21
153,1,3438.56,4266.76
154,1,2085.9,2166.37
155,1,3831.16,3372.27
156,1,7706.39,10641.13
157,1,2633.45,3047.42
158,1,3438.56,4266.76
159,1,2085.9,2166.37
160,1,2633.45,3047.42
161,1,3438.56,4266.76
162,1,4003.93,4635.75
163,1,2633.45,3047.42
164,1,2782.05,2752.43
165,1,1342.15,2404.04
166,1,1592.04,2945.96
167,1,3438.56,4266.76
168,1,2782.05,2752.43
169,1,24999.37,44319.86
170,1,3831.16,3372.27
171,1,12957.1,25386.6
172,1,12957.1,25386.6
173,1,12957.1,25386.6
174,1,1342.15,2404.04
175,1,3438.56,4266.76
176,1,4003.93,4635.75
177,1,3831.16,3372.27
178,1,24999.37,44319.86
179,1,2633.45,3047.42
180,1,3016.45,6207.21
181,1,3016.45,6207.21
182,1,2633.45,3047.42
183,1,1342.15,2404.04
184,1,3363.18,3459.71
185,1,3831.16,3372.27
186,1,1342.15,2404.04
187,1,12957.1,25386.6
188,1,1592.04,2945.96
189,1,3438.56,4266.76
190,1,2633.45,3047.42
191,1,1592.04,2945.96
192,1,581.5,451.54
193,1,7706.39,10641.13
194,1,2071.46,2384.25
195,1,3016.45,6207.21
196,1,4003.93,4635.75
197,1,3438.56,4266.76
198,1,2085.9,2166.37
199,1,3438.56,4266.76
200,1,24999.37,44319.86
201,1,2633.45,3047.42
202,1,1342.15,2404.04
203,1,3831.16,3372.27
204,1,12957.1,25386.6
205,1,581.5,451.54
206,1,1839.23,1960.04
207,1,1839.23,1960.04
208,1,131.5,208.44
209,1,3438.56,4266.76
210,1,5502,0
211,1,24999.37,44319.86
212,1,196.52,336.52
213,1,3363.18,3459.71
214,1,2071.46,2384.25
215,1,12293.18,23679.23
216,1,1342.15,2404.04
217,1,1342.15,2404.04
218,1,3016.45,6207.21
219,1,12957.1,25386.6
220,1,12957.1,25386.6
221,1,12957.1,25386.6
222,1,3438.56,4266.76
223,1,37179.92,12336.82
224,1,2633.45,3047.42
225,1,2633.45,3047.42
226,1,12293.18,23679.23
227,1,7706.39,10641.13
228,1,12293.18,23679.23
229,1,4003.93,4635.75
230,1,843.67,524.01
231,1,3016.45,6207.21
232,1,1592.04,2945.96
233,1,7706.39,10641.13
234,1,12957.1,25386.6
235,1,843.67,524.01
236,1,1342.15,2404.04
237,1,3016.45,6207.21
238,1,3831.16,3372.27
239,1,7706.39,10641.13
240,1,1342.15,2404.04
241,1,2633.45,3047.42
242,1,12957.1,25386.6
243,1,1839.23,1960.04
244,1,188186,0
245,1,4003.93,4635.75
246,1,2071.46,2384.25
247,1,3438.56,4266.76
248,1,3016.45,6207.21
249,1,1342.15,2404.04
250,1,1815.25,1422.65
251,1,1592.04,2945.96
252,1,2071.46,2384.25
253,1,1342.15,2404.04
254,1,12293.18,23679.23
255,1,12957.1,25386.6
256,1,4003.93,4635.75
257,1,2633.45,3047.42
258,1,24999.37,44319.86
259,1,371.09,612.45
260,1,12293.18,23679.23
261,1,1342.15,2404.04
262,1,843.67,524.01
263,1,2085.9,2166.37
264,1,2071.46,2384.25
265,1,2633.45,3047.42
266,1,1592.04,2945.96
267,1,3831.16,3372.27
268,1,264,551.58
269,1,37179.92,12336.82
270,1,264,551.58
271,1,196.52,336.52
272,1,264,551.58
273,1,196.52,336.52
274,1,2071.46,2384.25
275,1,6020.79,3899.7
276,1,12293.18,23679.23
277,1,3438.56,4266.76
278,1,3438.56,4266.76
279,1,3363.18,3459.71
280,1,2782.05,2752.43
281,1,3438.56,4266.76
282,1,3363.18,3459.71
283,1,2782.05,2752.43
284,1,3438.56,4266.76
285,1,2782.05,2752.43
286,1,2782.05,2752.43
287,1,3438.56,4266.76
288,1,12957.1,25386.6
289,1,24999.37,44319.86
290,1,4003.93,4635.75
291,1,2085.9,2166.37
292,1,3016.45,6207.21
293,1,2633.45,3047.42
294,1,4003.93,4635.75
295,1,2071.46,2384.25
296,1,1592.04,2945.96
297,1,3438.56,4266.76
298,1,3831.16,3372.27
299,1,3438.56,4266.76
300,1,3438.56,4266.76
301,1,3016.45,6207.21
302,1,2071.46,2384.25
303,1,20455,0
304,1,2071.46,2384.25
305,1,1815.25,1422.65
306,1,3438.56,4266.76
307,1,24999.37,44319.86
308,1,3831.16,3372.27
309,1,3438.56,4266.76
310,1,2071.46,2384.25
311,1,1342.15,2404.04
312,1,37179.92,12336.82
313,1,2782.05,2752.43
314,1,3363.18,3459.71
315,1,1342.15,2404.04
316,1,581.5,451.54
317,1,3438.56,4266.76
318,1,2633.45,3047.42
319,1,3438.56,4266.76
320,1,1342.15,2404.04
321,1,3438.56,4266.76
322,1,1839.23,1960.04
323,1,12957.1,25386.6
324,1,3438.56,4266.76
325,1,12957.1,25386.6
326,1,2071.46,2384.25
327,1,24999.37,44319.86
328,1,3363.18,3459.71
329,1,7706.39,10641.13
330,1,1342.15,2404.04
331,1,2782.05,2752.43
332,1,7706.39,10641.13
333,1,6020.79,3899.7
334,1,1342.15,2404.04
335,1,1342.15,2404.04
336,1,4003.93,4635.75
337,1,2633.45,3047.42
338,1,2633.45,3047.42
339,1,4003.93,4635.75
340,1,2782.05,2752.43
341,1,3438.56,4266.76
342,1,24999.37,44319.86
343,1,24999.37,44319.86
344,1,2633.45,3047.42
345,1,7706.39,10641.13
346,1,2085.9,2166.37
347,1,3016.45,6207.21
348,1,2071.46,2384.25
349,1,3831.16,3372.27
350,1,1592.04,2945.96
351,1,1592.04,2945.96
352,1,3438.56,4266.76
353,1,3831.16,3372.27
354,1,1342.15,2404.04
355,1,3363.18,3459.71
356,1,2633.45,3047.42
357,1,3438.56,4266.76
358,1,7706.39,10641.13
359,1,4003.93,4635.75
360,1,2633.45,3047.42
361,1,3363.18,3459.71
362,1,2633.45,3047.42
363,1,3016.45,6207.21
364,1,1592.04,2945.96
365,1,3831.16,3372.27
366,1,3363.18,3459.71
367,1,12957.1,25386.6
368,1,4003.93,4635.75
369,1,7706.39,10641.13
370,1,12293.18,23679.23
371,1,196.52,336.52
372,1,12293.18,23679.23
373,1,4003.93,4635.75
374,1,581.5,451.54
375,1,3438.56,4266.76
376,1,6020.79,3899.7
377,1,3438.56,4266.76
378,1,3438.56,4266.76
379,1,12293.18,23679.23
380,1,2782.05,2752.43
381,1,5168,8058.29
382,1,2633.45,3047.42
383,1,1488,257.39
384,1,3363.18,3459.71
385,1,12293.18,23679.23
386,1,6020.79,3899.7
387,1,3438.56,4266.76
388,1,2085.9,2166.37
389,1,3831.16,3372.27
390,1,1342.15,2404.04
391,1,3438.56,4266.76
392,1,4003.93,4635.75
393,1,4003.93,4635.75
394,1,3831.16,3372.27
395,1,1342.15,2404.04
396,1,1342.15,2404.04
397,1,3016.45,6207.21
398,1,4003.93,4635.75
399,1,1815.25,1422.65
400,1,2071.46,2384.25
401,1,581.5,451.54
402,1,371.09,612.45
403,1,3831.16,3372.27
404,1,2085.9,2166.37
405,1,12957.1,25386.6
406,1,2071.46,2384.25
407,1,371.09,612.45
408,1,12957.1,25386.6
409,1,131.5,208.44
410,1,24999.37,44319.86
411,1,7706.39,10641.13
412,1,6020.79,3899.7
413,1,1592.04,2945.96
414,1,12957.1,25386.6
415,1,4003.93,4635.75
416,1,1592.04,2945.96
417,1,1592.04,2945.96
418,1,2633.45,3047.42
419,1,6020.79,3899.7
420,1,6020.79,3899.7
421,1,196.52,336.52
422,1,37179.92,12336.82
423,1,12293.18,23679.23
424,1,2085.9,2166.37
425,1,581.5,451.54
426,1,2085.9,2166.37
427,1,37179.92,12336.82
428,1,3363.18,3459.71
429,1,196.52,336.52
430,1,3438.56,4266.76
431,1,3016.45,6207.21
432,1,581.5,451.54
433,1,3438.56,4266.76
434,1,3831.16,3372.27
435,1,3438.56,4266.76
436,1,2071.46,2384.25
437,1,24999.37,44319.86
438,1,131.5,208.44
439,1,1488,257.39
440,1,196.52,336.52
441,1,2071.46,2384.25
442,1,196.52,336.52
443,1,196.52,336.52
444,1,371.09,612.45
445,1,196.52,336.52
446,1,196.52,336.52
447,1,196.52,336.52
448,1,3438.56,4266.76
449,1,2782.05,2752.43
450,1,131.5,208.44
451,1,3831.16,3372.27
452,1,3831.16,3372.27
453,1,12293.18,23679.23
454,1,3438.56,4266.76
455,1,1592.04,2945.96
456,1,5168,8058.29
457,1,3363.18,3459.71
458,1,3016.45,6207.21
459,1,3438.56,4266.76
460,1,3438.56,4266.76
461,1,6020.79,3899.7
462,1,7706.39,10641.13
463,1,4003.93,4635.75
464,1,131.5,208.44
465,1,581.5,451.54
466,1,1342.15,2404.04
467,1,1342.15,2404.04
468,1,12957.1,25386.6
469,1,6883,0
470,1,2782.05,2752.43
471,1,3438.56,4266.76
472,1,3438.56,4266.76
473,1,4003.93,4635.75
474,1,3438.56,4266.76
475,1,3016.45,6207.21
476,1,3438.56,4266.76
477,1,2782.05,2752.43
478,1,371.09,612.45
479,1,371.09,612.45
480,1,3438.56,4266.76
481,1,3016.45,6207.21
482,1,1342.15,2404.04
483,1,24999.37,44319.86
484,1,1592.04,2945.96
485,1,3831.16,3372.27
486,1,7706.39,10641.13
487,1,3438.56,4266.76
488,1,3831.16,3372.27
489,1,12957.1,25386.6
490,1,4003.93,4635.75
491,1,7706.39,10641.13
492,1,12293.18,23679.23
493,1,2633.45,3047.42
494,1,24999.37,44319.86
495,1,1839.23,1960.04
496,1,3831.16,3372.27
497,1,12293.18,23679.23
498,1,196.52,336.52
499,1,24999.37,44319.86
500,1,24999.37,44319.86
501,1,1592.04,2945.96
502,1,3016.45,6207.21
503,1,1342.15,2404.04
504,1,24999.37,44319.86
505,1,3016.45,6207.21
506,1,3831.16,3372.27
507,1,4003.93,4635.75
508,1,1342.15,2404.04
509,1,12293.18,23679.23
510,1,1342.15,2404.04
511,1,7706.39,10641.13
512,1,264,551.58
513,1,1815.25,1422.65
514,1,4003.93,4635.75
515,1,3363.18,3459.71
516,1,24999.37,44319.86
517,1,196.52,336.52
518,1,2071.46,2384.25
519,1,6020.79,3899.7
520,1,2071.46,2384.25
521,1,24999.37,44319.86
522,1,2633.45,3047.42
523,1,3363.18,3459.71
524,1,3363.18,3459.71
525,1,3016.45,6207.21
526,1,3363.18,3459.71
527,1,1342.15,2404.04
528,1,196.52,336.52
529,1,24999.37,44319.86
530,1,7706.39,10641.13
531,1,7706.39,10641.13
532,1,3016.45,6207.21
533,1,6020.79,3899.7
534,1,2782.05,2752.43
535,1,2782.05,2752.43
536,1,3831.16,3372.27
537,1,1839.23,1960.04
538,1,12293.18,23679.23
539,1,371.09,612.45
540,1,371.09,612.45
541,1,3438.56,4266.76
542,1,1839.23,1960.04
543,1,3016.45,6207.21
544,1,37179.92,12336.82
545,1,2633.45,3047.42
546,1,3438.56,4266.76
547,1,3438.56,4266.76
548,1,5168,8058.29
549,1,12293.18,23679.23
550,1,2085.9,2166.37
551,1,2085.9,2166.37
552,1,24999.37,44319.86
553,1,7706.39,10641.13
554,1,7706.39,10641.13
555,1,4003.93,4635.75
556,1,3831.16,3372.27
557,1,7706.39,10641.13
558,1,3438.56,4266.76
559,1,12957.1,25386.6
560,1,24999.37,44319.86
561,1,1592.04,2945.96
562,1,1592.04,2945.96
563,1,1342.15,2404.04
564,1,1342.15,2404.04
565,1,3016.45,6207.21
566,1,1592.04,2945.96
567,1,2085.9,2166.37
568,1,2633.45,3047.42
569,1,12957.1,25386.6
570,1,12293.18,23679.23
571,1,2085.9,2166.37
572,1,2071.46,2384.25
573,1,3438.56,4266.76
574,1,2071.46,2384.25
575,1,1342.15,2404.04
576,1,24999.37,44319.86
577,1,4003.93,4635.75
578,1,2085.9,2166.37
579,1,1342.15,2404.04
580,1,3363.18,3459.71
581,1,264,551.58
582,1,3363.18,3459.71
583,1,3831.16,3372.27
584,1,1839.23,1960.04
585,1,2782.05,2752.43
586,1,2782.05,2752.43
587,1,37179.92,12336.82
588,1,3016.45,6207.21
589,1,1342.15,2404.04
590,1,3438.56,4266.76
591,1,3831.16,3372.27
592,1,2071.46,2384.25
593,1,131.5,208.44
594,1,12293.18,23679.23
595,1,3831.16,3372.27
596,1,2085.9,2166.37
597,1,4003.93,4635.75
598,1,3438.56,4266.76
599,1,24999.37,44319.86
600,1,2782.05,2752.43
601,1,3438.56,4266.76
602,1,2071.46,2384.25
603,1,3831.16,3372.27
604,1,24999.37,44319.86
605,1,1342.15,2404.04
606,1,2633.45,3047.42
607,1,1342.15,2404.04
608,1,1342.15,2404.04
609,1,131.5,208.44
610,1,1342.15,2404.04
611,1,2782.05,2752.43
612,1,3438.56,4266.76
613,1,1342.15,2404.04
614,1,3438.56,4266.76
615,1,3831.16,3372.27
616,1,3831.16,3372.27
617,1,1342.15,2404.04
618,1,196.52,336.52
619,1,581.5,451.54
620,1,12957.1,25386.6
621,1,1342.15,2404.04
622,1,2085.9,2166.37
623,1,3438.56,4266.76
624,1,196.52,336.52
625,1,3438.56,4266.76
626,1,1342.15,2404.04
627,1,2633.45,3047.42
628,1,1901,0
629,1,2071.46,2384.25
630,1,24999.37,44319.86
631,1,1342.15,2404.04
632,1,1815.25,1422.65
633,1,581.5,451.54
634,1,2633.45,3047.42
635,1,3363.18,3459.71
636,1,3831.16,3372.27
637,1,3438.56,4266.76
638,1,12293.18,23679.23
639,1,3831.16,3372.27
640,1,581.5,451.54
641,1,24999.37,44319.86
642,1,3438.56,4266.76
643,1,3363.18,3459.71
644,1,7706.39,10641.13
645,1,264,551.58
646,1,1815.25,1422.65
647,1,264,551.58
648,1,264,551.58
649,1,2782.05,2752.43
650,1,37179.92,12336.82
651,1,2085.9,2166.37
652,1,4003.93,4635.75
653,1,1592.04,2945.96
654,1,3438.56,4266.76
655,1,4003.93,4635.75
656,1,3831.16,3372.27
657,1,1592.04,2945.96
658,1,3016.45,6207.21
659,1,3016.45,6207.21
660,1,1592.04,2945.96
661,1,3016.45,6207.21
662,1,2782.05,2752.43
663,1,196.52,336.52
664,1,1839.23,1960.04
665,1,138393,0
666,1,24999.37,44319.86
667,1,12293.18,23679.23
668,1,12293.18,23679.23
669,1,12293.18,23679.23
670,1,6020.79,3899.7
671,1,12293.18,23679.23
672,1,12293.18,23679.23
