districtid,timeid,neighbormean,neighborstddev
101,1,0,0.0
101,2,8.6,13.74
101,3,160.2,232.15
101,4,118.2,56.83
101,5,240.4,52.76
101,6,572.2,265.27
101,7,186.8,156.92
102,1,0,0.0
102,2,4.44,9.13
102,3,76,50.77
102,4,396.22,412.38
102,5,495.22,379.47
102,6,828.11,456.77
102,7,190.89,125.47
103,1,0,0.0
103,2,9.57,10.34
103,3,86.71,70.29
103,4,149,115.27
103,5,577.71,337.8
103,6,671.43,441.2
103,7,135,98.42
104,1,0,0.0
104,2,281.75,559.94
104,3,6517,11333.5
104,4,11416.88,14901.19
104,5,23856.88,26831.43
104,6,27036.12,28273.61
104,7,6674.75,7393.28
105,1,0.29,0.49
105,2,8.43,21.43
105,3,195.57,487.27
105,4,1211.29,2681.88
105,5,4838,12169.37
105,6,10604.29,26328.15
105,7,2620.43,6596.43
106,1,0,0.0
106,2,22.83,37.88
106,3,363,395.91
106,4,417.17,518.17
106,5,896.83,801.33
106,6,1739.5,1904.37
106,7,455,720.98
107,1,0,0.0
107,2,3,4.36
107,3,82.33,104.33
107,4,208.33,127.26
107,5,1008.67,498.94
107,6,2175,1052.0
107,7,612,127.35
108,1,0,0.0
108,2,3,3.46
108,3,30.5,7.55
108,4,230.75,46.68
108,5,1292.25,281.31
108,6,2985.75,969.42
108,7,717.5,268.5
109,1,0,0.0
109,2,5.88,8.51
109,3,81,103.87
109,4,434.25,597.28
109,5,779.25,905.61
109,6,1050.62,818.69
109,7,281.12,241.16
110,1,0.33,0.58
110,2,19,32.91
110,3,458.33,728.66
110,4,2603.33,3993.2
110,5,11259.67,18318.83
110,6,24932.67,39226.92
110,7,6352,9712.58
111,1,0,0.0
111,2,2.5,4.72
111,3,32.5,22.39
111,4,52.67,49.0
111,5,325.83,202.8
111,6,749.17,699.29
111,7,159.33,149.77
112,1,0,0.0
112,2,0,0.0
112,3,57.5,94.62
112,4,96.83,62.32
112,5,151.33,246.55
112,6,473.17,596.05
112,7,205,236.21
113,1,0,0.0
113,2,16.83,40.26
113,3,225.67,433.39
113,4,584.33,629.58
113,5,935.17,742.65
113,6,1666.33,1978.53
113,7,496.5,715.04
114,1,0,0.0
114,2,4.33,9.22
114,3,21.83,20.35
114,4,116.5,60.64
114,5,532,445.77
114,6,2089.33,1429.44
114,7,675.83,328.2
115,1,0,0.0
115,2,0.67,1.03
115,3,96,31.39
115,4,181.83,59.12
115,5,873.67,467.7
115,6,2604.33,2319.83
115,7,535.5,563.62
116,1,0,0.0
116,2,0.4,0.55
116,3,91,46.42
116,4,111.2,61.68
116,5,597.2,266.59
116,6,1695.4,654.79
116,7,418.2,186.06
117,1,0,0.0
117,2,8.5,12.76
117,3,166.1,203.61
117,4,258.8,363.99
117,5,753.7,1000.5
117,6,3242.1,7181.67
117,7,1342.5,2951.95
118,1,0,0.0
118,2,5.6,5.59
118,3,49.8,19.45
118,4,87.6,60.02
118,5,778,581.03
118,6,1286.4,1098.51
118,7,290,319.79
119,1,0,0.0
119,2,8.67,5.51
119,3,109.33,75.1
119,4,61.67,22.5
119,5,208,70.15
119,6,1159.33,799.62
119,7,262.67,79.75
120,1,0,0.0
120,2,7.33,5.13
120,3,135.67,102.11
120,4,373.67,168.62
120,5,845,386.11
120,6,1432.5,1127.76
120,7,410.17,305.24
121,1,0,0.0
121,2,225.5,413.78
121,3,2568,4581.83
121,4,2644,4301.31
121,5,2340.25,2486.5
121,6,2475,2302.89
121,7,480.25,455.17
122,1,0,0.0
122,2,18.71,39.32
122,3,115.43,121.96
122,4,545.57,482.63
122,5,5813.57,5188.99
122,6,14175.43,11516.62
122,7,3076.29,2136.28
123,1,0,0.0
123,2,2.67,3.12
123,3,88,95.04
123,4,362.44,271.67
123,5,815.22,1190.85
123,6,962.89,1489.09
123,7,186.33,245.8
124,1,0,0.0
124,2,0.67,1.32
124,3,36.78,29.68
124,4,113.22,149.29
124,5,509.11,526.19
124,6,2001.67,1891.1
124,7,532.44,595.64
125,1,0,0.0
125,2,0,0.0
125,3,1,1.41
125,4,48,63.64
125,5,89,94.75
125,6,176,80.61
125,7,42,36.77
126,1,0,0.0
126,2,0.5,1.22
126,3,32.33,28.87
126,4,40,52.1
126,5,115.83,177.09
126,6,382.17,406.22
126,7,254.17,340.14
127,1,0,0.0
127,2,0.5,0.58
127,3,77,9.8
127,4,158.5,48.58
127,5,661,173.78
127,6,1847.5,736.94
127,7,347.75,99.72
128,1,0,0.0
128,2,4.5,9.14
128,3,235.67,185.27
128,4,135.17,132.9
128,5,419.33,267.48
128,6,593.33,374.29
128,7,113.5,67.97
129,1,0,0.0
129,2,0.75,0.96
129,3,161,188.96
129,4,398,277.98
129,5,2034.5,1303.19
129,6,4221.75,3198.06
129,7,1022.75,1032.11
130,1,0,0.0
130,2,9.83,10.65
130,3,124.67,60.12
130,4,194.33,144.82
130,5,2394,2818.92
130,6,3884.83,4423.82
130,7,445.17,554.98
131,1,0,0.0
131,2,0,0.0
131,3,39,71.7
131,4,53.4,82.88
131,5,246.6,111.08
131,6,609.6,271.22
131,7,189,125.91
132,1,0.03,0.17
132,2,0.06,0.34
132,3,7.82,19.48
132,4,67.5,204.14
132,5,162.44,286.29
132,6,461.38,829.7
132,7,116.59,227.13
133,1,0,0.0
133,2,0.75,0.96
133,3,40.5,14.43
133,4,154,84.94
133,5,365.5,193.5
133,6,1011.25,285.76
133,7,227.5,85.72
134,1,0,0.0
134,2,7.5,15.0
134,3,75,66.37
134,4,92,51.3
134,5,1108.5,812.76
134,6,1786.5,890.77
134,7,202.5,65.93
135,1,0,0.0
135,2,18.6,27.85
135,3,362.2,409.34
135,4,1370.6,1503.69
135,5,4909.6,4204.47
135,6,13018.2,9663.43
135,7,2927,2078.95
136,1,0,0.0
136,2,0.17,0.41
136,3,110.17,45.24
136,4,131.33,50.51
136,5,455,255.72
136,6,1459.83,722.7
136,7,295,152.63
137,1,0,0.0
137,2,0.83,1.33
137,3,90.83,50.69
137,4,188,115.89
137,5,837.83,631.77
137,6,2301.33,2462.01
137,7,466.5,574.16
138,1,0,0.0
138,2,4,6.36
138,3,85.8,81.87
138,4,201.8,88.67
138,5,1888,820.19
138,6,5536.2,2159.11
138,7,1312.4,625.74
139,1,0,0.0
139,2,0,0.0
139,3,32,26.29
139,4,77,33.15
139,5,76.67,55.54
139,6,245.33,36.67
139,7,119.33,80.46
140,1,16.14,42.71
140,2,493.57,1293.53
140,3,2495.14,6199.63
140,4,10266.71,25685.25
140,5,8408.57,18668.26
140,6,7423.29,14515.24
140,7,2833.71,5703.84
141,1,0,0.0
